rowid,stationid,city,chinese,latitude,longitude,pm25,pm10,o3,no2 ,so2,co,useless1,useless2,useless3,useless4,useless5,useless6,time
123875,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,301,240,11,51,45,18,11,8,1010,82,4,2.01E+13,1395774000
124344,965,Chongqing,_öçë_æ,29.560161,106.555275,160,75,1,26,24,15,11,9,1015,88,7,2.01E+13,1395784800
124397,36,Beijing,ë‘ã__Œ,39.955906,116.474246,367,215,5,76,15,11,9,5,1012,76,2,2.01E+13,1395795600
124409,47,Shanghai,_Ù__µà,31.202842,121.453493,169,85,6,42,18,11,18,15,1012,84,4,2.01E+13,1395795600
124789,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,307,193,7,32,47,21,19,11,1013,60,7,2.01E+13,1395802800
125258,965,Chongqing,_öçë_æ,29.560161,106.555275,154,65,9,22,17,13,23,11,1013,47,4,2.01E+13,1395813600
125311,36,Beijing,ë‘ã__Œ,39.955906,116.474246,296,178,22,56,38,11,23,6,1008,33,4,2.01E+13,1395824400
125323,47,Shanghai,_Ù__µà,31.202842,121.453493,162,78,31,27,10,11,18,12,1012,68,3,2.01E+13,1395824400
125703,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,200,128,49,22,24,11,23,7,1008,36,7,2.01E+13,1395831600
126172,965,Chongqing,_öçë_æ,29.560161,106.555275,159,93,28,48,18,11,18,11,1011,64,11,2.01E+13,1395842400
126225,36,Beijing,ë‘ã__Œ,39.955906,116.474246,443,302,48,64,34,11,13,8,1011,72,2,2.01E+13,1395853200
126237,47,Shanghai,_Ù__µà,31.202842,121.453493,153,63,26,50,9,9,13,12,1015,89,1,2.01E+13,1395853200
126617,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,222,127,27,27,14,14,16,11,1011,72,2,2.01E+13,1395860400
127087,965,Chongqing,_öçë_æ,29.560161,106.555275,164,103,5,39,11,12,16,11,1008,72,7,2.01E+13,1395874800
